[2021-06-30 20:01:00] Connection Opened (port 10000)
[2021-06-30 20:03:32]	Connected: Socket[addr=/216.106.142.65,port=56977,localport=10000]
[2021-06-30 20:04:50]	Connected: Socket[addr=/216.106.142.65,port=61471,localport=10000]
[2021-06-30 20:06:24]	Connected: Socket[addr=/216.106.142.65,port=49216,localport=10000]
[2021-06-30 20:08:58]	Connected: Socket[addr=/216.106.142.65,port=65218,localport=10000]
[2021-06-30 20:09:59]	Connected: Socket[addr=/216.106.142.65,port=65225,localport=10000]
[2021-06-30 20:09:59]		Socket sent invalid key
[2021-06-30 20:09:59]	Closed: Socket[addr=/216.106.142.65,port=65225,localport=10000]
[2021-06-30 20:26:48] Connection Closed
----------------------------------------
[2021-06-30 20:26:59] Connection Opened (port 10000)
[2021-06-30 20:28:10] Connection Closed
----------------------------------------
[2021-06-30 20:28:25] Connection Opened (port 10000)
[2021-06-30 20:29:26] Connection Closed
----------------------------------------
[2021-06-30 20:29:35] Connection Opened (port 10000)
[2021-06-30 20:38:01]	Connected: Socket[addr=/216.106.142.65,port=54745,localport=10000]
[2021-06-30 20:38:01]		Key Accepted
[2021-06-30 20:38:02]		Commands sent
[2021-06-30 20:38:02]		Results received
[2021-06-30 20:38:02]		Results received
[2021-06-30 20:38:04]		Results received
[2021-06-30 20:38:04]	Closed: Socket[addr=/216.106.142.65,port=54745,localport=10000]
[2021-06-30 20:38:14]	Connected: Socket[addr=/216.106.142.65,port=54747,localport=10000]
[2021-06-30 20:38:14]		Key Accepted
[2021-06-30 20:38:14]		No commands to send
[2021-06-30 20:38:14]	Closed: Socket[addr=/216.106.142.65,port=54747,localport=10000]
[2021-06-30 20:38:24]	Connected: Socket[addr=/216.106.142.65,port=54750,localport=10000]
[2021-06-30 20:38:25]		Key Accepted
[2021-06-30 20:38:25]		No commands to send
[2021-06-30 20:38:25]	Closed: Socket[addr=/216.106.142.65,port=54750,localport=10000]
[2021-06-30 20:38:35]	Connected: Socket[addr=/216.106.142.65,port=54758,localport=10000]
[2021-06-30 20:38:35]		Key Accepted
[2021-06-30 20:38:35]		No commands to send
[2021-06-30 20:38:35]	Closed: Socket[addr=/216.106.142.65,port=54758,localport=10000]
[2021-06-30 20:38:45]	Connected: Socket[addr=/216.106.142.65,port=60234,localport=10000]
[2021-06-30 20:38:45]		Key Accepted
[2021-06-30 20:38:45]		No commands to send
[2021-06-30 20:38:45]	Closed: Socket[addr=/216.106.142.65,port=60234,localport=10000]
[2021-06-30 20:38:55]	Connected: Socket[addr=/216.106.142.65,port=60236,localport=10000]
[2021-06-30 20:38:55]		Key Accepted
[2021-06-30 20:38:55]		No commands to send
[2021-06-30 20:38:55]	Closed: Socket[addr=/216.106.142.65,port=60236,localport=10000]
[2021-06-30 20:39:06]	Connected: Socket[addr=/216.106.142.65,port=58782,localport=10000]
[2021-06-30 20:39:06]		Key Accepted
[2021-06-30 20:39:06]		No commands to send
[2021-06-30 20:39:06]	Closed: Socket[addr=/216.106.142.65,port=58782,localport=10000]
[2021-06-30 20:39:16]	Connected: Socket[addr=/216.106.142.65,port=58990,localport=10000]
[2021-06-30 20:39:16]		Key Accepted
[2021-06-30 20:39:16]		No commands to send
[2021-06-30 20:39:16]	Closed: Socket[addr=/216.106.142.65,port=58990,localport=10000]
[2021-06-30 20:39:26]	Connected: Socket[addr=/216.106.142.65,port=58992,localport=10000]
[2021-06-30 20:39:26]		Key Accepted
[2021-06-30 20:39:26]		No commands to send
[2021-06-30 20:39:26]	Closed: Socket[addr=/216.106.142.65,port=58992,localport=10000]
[2021-06-30 20:39:36]	Connected: Socket[addr=/216.106.142.65,port=58993,localport=10000]
[2021-06-30 20:39:36]		Key Accepted
[2021-06-30 20:39:37]		No commands to send
[2021-06-30 20:39:37]	Closed: Socket[addr=/216.106.142.65,port=58993,localport=10000]
[2021-06-30 20:39:47]	Connected: Socket[addr=/216.106.142.65,port=58995,localport=10000]
[2021-06-30 20:39:47]		Key Accepted
[2021-06-30 20:39:47]		No commands to send
[2021-06-30 20:39:47]	Closed: Socket[addr=/216.106.142.65,port=58995,localport=10000]
[2021-06-30 20:39:57]	Connected: Socket[addr=/216.106.142.65,port=59019,localport=10000]
[2021-06-30 20:39:57]		Key Accepted
[2021-06-30 20:39:57]		No commands to send
[2021-06-30 20:39:57]	Closed: Socket[addr=/216.106.142.65,port=59019,localport=10000]
[2021-06-30 20:40:07]	Connected: Socket[addr=/216.106.142.65,port=59023,localport=10000]
[2021-06-30 20:40:07]		Key Accepted
[2021-06-30 20:40:07]		No commands to send
[2021-06-30 20:40:07]	Closed: Socket[addr=/216.106.142.65,port=59023,localport=10000]
[2021-06-30 20:40:17]	Connected: Socket[addr=/216.106.142.65,port=57375,localport=10000]
[2021-06-30 20:40:17]		Key Accepted
[2021-06-30 20:40:18]		No commands to send
[2021-06-30 20:40:18]	Closed: Socket[addr=/216.106.142.65,port=57375,localport=10000]
[2021-06-30 20:40:28]	Connected: Socket[addr=/216.106.142.65,port=51037,localport=10000]
[2021-06-30 20:40:28]		Key Accepted
[2021-06-30 20:40:28]		No commands to send
[2021-06-30 20:40:28]	Closed: Socket[addr=/216.106.142.65,port=51037,localport=10000]
[2021-06-30 20:40:38]	Connected: Socket[addr=/216.106.142.65,port=51039,localport=10000]
[2021-06-30 20:40:38]		Key Accepted
[2021-06-30 20:40:38]		No commands to send
[2021-06-30 20:40:38]	Closed: Socket[addr=/216.106.142.65,port=51039,localport=10000]
[2021-06-30 20:40:48]	Connected: Socket[addr=/216.106.142.65,port=58996,localport=10000]
[2021-06-30 20:40:48]		Key Accepted
[2021-06-30 20:40:48]		No commands to send
[2021-06-30 20:40:48]	Closed: Socket[addr=/216.106.142.65,port=58996,localport=10000]
[2021-06-30 20:40:58]	Connected: Socket[addr=/216.106.142.65,port=59005,localport=10000]
[2021-06-30 20:40:59]		Key Accepted
[2021-06-30 20:40:59]		No commands to send
[2021-06-30 20:40:59]	Closed: Socket[addr=/216.106.142.65,port=59005,localport=10000]
[2021-06-30 20:41:09]	Connected: Socket[addr=/216.106.142.65,port=59011,localport=10000]
[2021-06-30 20:41:09]		Key Accepted
[2021-06-30 20:41:09]		No commands to send
